,0
BRENT_rangepct,0.026573279207850124
BRLUSD_rangepct,0.015924998737410666
CADUSD_rangepct,0.0075419646751741076
CHFUSD_rangepct,0.007919491150454398
COFFEE_rangepct,0.022634987990115367
COPPER_rangepct,0.015571506471278248
DAX_rangepct,0.01529838538676306
DOWJONES_rangepct,0.012422418617676206
EURGBP_rangepct,0.007272269558312359
EUROSTOXX50_rangepct,0.01600771928375571
EURUSD_rangepct,0.007831037083047956
GBPUSD_rangepct,0.007990197493683576
GOLD_rangepct,0.011068317556245665
IBEX35_rangepct,0.017320761485938033
JPYUSD_rangepct,0.007680943251513306
MXNUSD_rangepct,0.011157563218142909
NASDAQ100_rangepct,0.014529269335012819
NATGAS_rangepct,0.04144259822207914
NIKKEI225_rangepct,0.01282467649101978
SILVER_rangepct,0.013883618839562656
SP500_rangepct,0.01258048731712221
US10Y_rangepct,0.02729137954304069
US2Y_rangepct,0.1963485139235708
US30Y_rangepct,0.020096211023775557
US5Y_rangepct,0.040670690717231506
VIX_rangepct,0.09815047569582921
WTI_rangepct,0.034268203343195025
AUDUSD_ma520,0.9998867516451094
BRENT_ma520,1.0012802474922031
BRLUSD_ma520,1.001525824432687
CADUSD_ma520,1.0001693327820078
CHFUSD_ma520,0.9995090756118519
COFFEE_ma520,1.0016484812914994
COPPER_ma520,1.0013625980172516
DAX_ma520,1.001723756592832
DFF_ma520,0.9985631708438302
DGS10_ma520,0.999776589455705
DGS2_ma520,1.0028235660129525
DGS30_ma520,0.9992555239184994
DGS5_ma520,0.999626500067057
DOWJONES_ma520,1.0019584642616015
DTWEXBGS_ma520,1.000779165313638
ESTR_ma520,1.0014398104030837
EURGBP_ma520,1.0004673818183778
EUROSTOXX50_ma520,0.999835251383534
EURUSD_ma520,0.9996271271580026
GBPUSD_ma520,0.9992083990223065
GOLD_ma520,1.0022845478163878
IBEX35_ma520,0.9992315032473923
JPYUSD_ma520,1.000172760452365
MXNUSD_ma520,1.001194933553232
NASDAQ100_ma520,1.003958701290348
NATGAS_ma520,1.0004215581806613
NIKKEI225_ma520,1.0011249341575732
SILVER_ma520,1.001592336105037
SOFR_ma520,0.9778911939575632
SONIA_ma520,0.995861727077664
SP500_ma520,1.0021803507204134
US10Y_ma520,0.999290514476521
US2Y_ma520,1.009215662243382
US30Y_ma520,0.9990774463335094
US5Y_ma520,0.9998151081195218
VIX_ma520,1.002860051263624
WTI_ma520,1.0019274429215106
SPREAD_WTI_BRENT,-5.563598450175205
RATIO_WTI_BRENT,0.9311954240916421
SPREAD_US10Y_US2Y,1.3355184722470106
BRENT_EURUSD_RATIO,61.16409340211902
