,0
BRLUSD_vol20,0.005358286796440333
CADUSD_vol20,0.0024098328780038946
CHFUSD_vol20,0.003873204227667318
COFFEE_vol20,0.005613340802790741
COPPER_vol20,0.007261274813209399
DAX_vol20,0.006721231827147528
DFF_vol20,0.06220828116034174
DGS10_vol20,0.017124718350566975
DGS2_vol20,0.030529193979097015
DGS30_vol20,0.01106302060638909
DGS5_vol20,0.023659511930546953
DOWJONES_vol20,0.0073942150979170946
DTWEXBGS_vol20,0.0015593658109984599
ESTR_vol20,0.0029646931781137824
EURGBP_vol20,0.0020983301036796922
EUROSTOXX50_vol20,0.00712279829219043
EURUSD_vol20,0.004789272047089103
GBPUSD_vol20,0.0024477669372963955
GOLD_vol20,0.004613908210101479
IBEX35_vol20,0.007132398229186425
JPYUSD_vol20,0.004871016217937545
MXNUSD_vol20,0.004104097011946449
NASDAQ100_vol20,0.007513688827038922
NATGAS_vol20,0.014369899203489208
NIKKEI225_vol20,0.007217489668359142
SILVER_vol20,0.0088877198843833
SOFR_vol20,0.16121635721441432
SONIA_vol20,0.05194962824525557
SP500_vol20,0.007682322023264454
US10Y_vol20,0.016436870912442114
US2Y_vol20,0.24640688241519998
US30Y_vol20,0.010986747721757692
US5Y_vol20,0.02066566863414485
VIX_vol20,0.02959386712981582
WTI_vol20,0.014346802750951012
AUDUSD_rangepct,0.007284722385231339
BRENT_rangepct,0.02168246514778044
BRLUSD_rangepct,0.010774107419509207
CADUSD_rangepct,0.004806902324237335
CHFUSD_rangepct,0.006481967732040313
COFFEE_rangepct,0.015258370617952467
COPPER_rangepct,0.011654819394452934
DAX_rangepct,0.01050838340249496
DOWJONES_rangepct,0.010300052050122268
EURGBP_rangepct,0.013966190419895337
EUROSTOXX50_rangepct,0.01139920337377631
EURUSD_rangepct,0.016619930074531872
GBPUSD_rangepct,0.014542413026212366
GOLD_rangepct,0.009593190725560577
IBEX35_rangepct,0.01078112399765986
JPYUSD_rangepct,0.005405764835028386
MXNUSD_rangepct,0.0077327453009457875
NASDAQ100_rangepct,0.010700072973296856
NATGAS_rangepct,0.02240353517582625
NIKKEI225_rangepct,0.010045231841168093
SILVER_rangepct,0.016661387245934547
SP500_rangepct,0.010526057895459962
US10Y_rangepct,0.020185803375604355
US2Y_rangepct,1.0991424999554298
US30Y_rangepct,0.013788367838087854
US5Y_rangepct,0.03313566362942163
VIX_rangepct,0.05837260718210064
WTI_rangepct,0.05280107177949737
AUDUSD_ma520,0.015027139594160983
BRENT_ma520,0.04675872971303006
BRLUSD_ma520,0.0189888100941394
CADUSD_ma520,0.010939692544443783
CHFUSD_ma520,0.012320690115175463
COFFEE_ma520,0.038933259750292055
COPPER_ma520,0.03170812238844495
DAX_ma520,0.026010224204028057
DFF_ma520,0.10664546267930351
DGS10_ma520,0.040467713820877715
DGS2_ma520,0.08589205349522086
DGS30_ma520,0.028225271009341683
DGS5_ma520,0.0615982027824002
DOWJONES_ma520,0.020335594218024715
DTWEXBGS_ma520,0.0068521286941076376
ESTR_ma520,0.004322276306943725
EURGBP_ma520,0.00996937926668989
EUROSTOXX50_ma520,0.02529041368509545
EURUSD_ma520,0.011252030295083336
GBPUSD_ma520,0.011299056460517166
GOLD_ma520,0.020788970031288698
IBEX35_ma520,0.027200073251488245
JPYUSD_ma520,0.011255852234084167
MXNUSD_ma520,0.015615255110343467
NASDAQ100_ma520,0.02373680956526602
NATGAS_ma520,0.05546794466105992
NIKKEI225_ma520,0.02724176528285405
SILVER_ma520,0.038638078393567296
SOFR_ma520,0.23412012054928716
SONIA_ma520,0.12530230586389243
SP500_ma520,0.02091524467780937
US10Y_ma520,0.04692573883535532
US2Y_ma520,0.2848626157327894
US30Y_ma520,0.033154549667089576
US5Y_ma520,0.06639940305455103
VIX_ma520,0.1173248262231401
WTI_ma520,0.060353723062727134
SPREAD_WTI_BRENT,6.168705651891086
RATIO_WTI_BRENT,0.0698172062846392
SPREAD_US10Y_US2Y,0.8173821389171227
BRENT_EURUSD_RATIO,17.084462634857037
